# Legend: N(newborn) R(running) F(failed) K(killed) C(complete)
C delay__B__lh__OUT__hl__ACQ_1 of AOI21 T0 W1
C delay__B__hl__OUT__lh__ACQ_1 of AOI21 T1 W1
C leakage_power__ACQ_1 of AOI21 T2 W1
C delay__C__lh__OUT__hl__ACQ_1 of AOI21 T3 W1
C delay__C__hl__OUT__lh__ACQ_1 of AOI21 T4 W1
C Cin__VSS__lh__ACQ_1 of AOI21 T5 W1
C Cin__VSS__hl__ACQ_1 of AOI21 T6 W1
C delay__A__lh__OUT__hl__ACQ_1 of AOI21 T7 W1
C delay__A__hl__OUT__lh__ACQ_1 of AOI21 T8 W1
C Cin__VDD__lh__ACQ_1 of AOI21 T9 W1
C Cin__VDD__hl__ACQ_1 of AOI21 T10 W1
C leakage_power__ACQ_1 of AOI22 T11 W1
C Cin__VSS__hl__ACQ_1 of AOI22 T12 W1
C Cin__VSS__lh__ACQ_1 of AOI22 T13 W1
C delay__A__hl__OUT__lh__ACQ_1 of AOI22 T14 W1
C delay__A__lh__OUT__hl__ACQ_1 of AOI22 T15 W1
C delay__B__hl__OUT__lh__ACQ_1 of AOI22 T16 W1
C delay__B__lh__OUT__hl__ACQ_1 of AOI22 T17 W1
C delay__C__hl__OUT__lh__ACQ_1 of AOI22 T18 W1
C delay__C__lh__OUT__hl__ACQ_1 of AOI22 T19 W1
C delay__D__hl__OUT__lh__ACQ_1 of AOI22 T20 W1
C delay__D__lh__OUT__hl__ACQ_1 of AOI22 T21 W1
C Cin__VDD__hl__ACQ_1 of AOI22 T22 W1
C Cin__VDD__lh__ACQ_1 of AOI22 T23 W1
C leakage_power__ACQ_1 of AOI22 T24 W1
C Cin__VSS__hl__ACQ_1 of AOI22 T25 W1
C Cin__VSS__lh__ACQ_1 of AOI22 T26 W1
C delay__A__hl__OUT__lh__ACQ_1 of AOI22 T27 W1
C delay__A__lh__OUT__hl__ACQ_1 of AOI22 T28 W1
C delay__B__hl__OUT__lh__ACQ_1 of AOI22 T29 W1
C delay__B__lh__OUT__hl__ACQ_1 of AOI22 T30 W1
C delay__C__hl__OUT__lh__ACQ_1 of AOI22 T31 W1
C delay__C__lh__OUT__hl__ACQ_1 of AOI22 T32 W1
C delay__D__hl__OUT__lh__ACQ_1 of AOI22 T33 W1
C delay__D__lh__OUT__hl__ACQ_1 of AOI22 T34 W1
C Cin__VDD__hl__ACQ_1 of AOI22 T35 W1
C Cin__VDD__lh__ACQ_1 of AOI22 T36 W1
C leakage_power__ACQ_1 of MUX21 T37 W1
C Cin__VSS__hl__ACQ_1 of MUX21 T38 W1
C Cin__VSS__lh__ACQ_1 of MUX21 T39 W1
C delay__A__hl__OUT__hl__ACQ_1 of MUX21 T40 W1
C delay__A__lh__OUT__lh__ACQ_1 of MUX21 T41 W1
C delay__B__hl__OUT__hl__ACQ_1 of MUX21 T42 W1
C delay__B__lh__OUT__lh__ACQ_1 of MUX21 T43 W1
C delay__S__hl__OUT__hl__ACQ_1 of MUX21 T44 W1
C delay__S__hl__OUT__lh__ACQ_1 of MUX21 T45 W1
C delay__S__lh__OUT__hl__ACQ_1 of MUX21 T46 W1
C delay__S__lh__OUT__lh__ACQ_1 of MUX21 T47 W1
C Cin__VDD__hl__ACQ_1 of MUX21 T48 W1
C Cin__VDD__lh__ACQ_1 of MUX21 T49 W1
