# Legend: N(newborn) R(running) F(failed) K(killed) C(complete)
C Cin__VSS__hl__ACQ_1 of Tri_INV T0 W1
C Cin__VSS__lh__ACQ_1 of Tri_INV T1 W1
C leakage_power__ACQ_1 of Tri_INV T2 W1
C zen__EN__lh__OUT__lzh__ACQ_1 of Tri_INV T3 W1
C zen__EN__lh__OUT__hzl__ACQ_1 of Tri_INV T4 W1
C energy__EN__hl__OUT__hz__ACQ_1 of Tri_INV T5 W1
C zdis__EN__hl__OUT__hz__ACQ_1 of Tri_INV T6 W1
C delay__IN__hl__OUT__lh__ACQ_1 of Tri_INV T7 W1
C delay__IN__lh__OUT__hl__ACQ_1 of Tri_INV T8 W1
C zdis__EN__hl__OUT__lz__ACQ_1 of Tri_INV T9 W1
C energy__EN__hl__OUT__lz__ACQ_1 of Tri_INV T10 W1
C energy__EN__lh__OUT__hzl__ACQ_1 of Tri_INV T11 W1
C energy__EN__lh__OUT__lzh__ACQ_1 of Tri_INV T12 W1
C Cin__VDD__hl__ACQ_1 of Tri_INV T13 W1
C Cin__VDD__lh__ACQ_1 of Tri_INV T14 W1
