# Legend: N(newborn) R(running) F(failed) K(killed) C(complete)
C initialization__ACQ_7 of dff T0 W1
C setup_hbm__D__lh__CLK__hl__ACQ_1 of dff T1 W1
C initialization__ACQ_6 of dff T2 W1
C setup_hbm__D__hl__CLK__hl__ACQ_1 of dff T3 W1
C initialization__ACQ_4 of dff T4 W1
C leakage_power__ACQ_1 of dff T5 W1
C Cin__D__hl__ACQ_1 of dff T6 W1
C Cin__D__lh__ACQ_1 of dff T7 W1
C Cin__VSS__hl__ACQ_1 of dff T8 W1
C Cin__VSS__lh__ACQ_1 of dff T9 W1
C initialization__ACQ_5 of dff T10 W1
C ncmpw_hbm__CLK__lh__CLK__hl__ACQ_1 of dff T11 W1
C removal_hbm__R__hl__CLK__hl__ACQ_1 of dff T12 W1
C recover_hbm__R__hl__CLK__hl__ACQ_1 of dff T13 W1
C initialization__ACQ_1 of dff T14 W1
C initialization__ACQ_2 of dff T15 W1
C cmpw_hbm__CLK__hl__CLK__lh__ACQ_1 of dff T16 W1
C cmpw_hbm__R__lh__R__hl__ACQ_1 of dff T17 W1
C initialization__ACQ_3 of dff T18 W1
C delay__CLK__hl__Q__hl__ACQ_1 of dff T19 W1
C delay__CLK__hl__Q__lh__ACQ_1 of dff T20 W1
C hold_hbm__D__lh__CLK__hl__ACQ_1 of dff T21 W1
C hold_hbm__D__hl__CLK__hl__ACQ_1 of dff T22 W1
C Cin__CLK__lh__ACQ_1 of dff T23 W1
C Cin__VDD__hl__ACQ_1 of dff T24 W1
C Cin__VDD__lh__ACQ_1 of dff T25 W1
C delay__R__lh__Q__hl__ACQ_1 of dff T26 W1
C Cin__R__hl__ACQ_1 of dff T27 W1
